https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTT,Volume USDT,tradecount
1616371200000,2021-03-22 00:00:00,BTT/USDT,0.00363330,0.00371900,0.00348000,0.00353640,2264016283.00000000,8106193.08401230,12273
1616284800000,2021-03-21 00:00:00,BTT/USDT,0.00290000,0.00388740,0.00280300,0.00363010,139444672835.00000000,463716184.67006880,805159
1616198400000,2021-03-20 00:00:00,BTT/USDT,0.00235970,0.00396000,0.00235370,0.00289700,260497204580.00000000,842296269.37743320,1327152
1616112000000,2021-03-19 00:00:00,BTT/USDT,0.00163780,0.00255490,0.00162640,0.00235330,164488830008.00000000,333287157.38543050,652273
1616025600000,2021-03-18 00:00:00,BTT/USDT,0.00165320,0.00168600,0.00158910,0.00163760,30382391931.00000000,49354891.00696010,154257
1615939200000,2021-03-17 00:00:00,BTT/USDT,0.00161980,0.00173170,0.00153700,0.00165320,36245429440.00000000,58412050.33726630,174443
1615852800000,2021-03-16 00:00:00,BTT/USDT,0.00162360,0.00164580,0.00152700,0.00161990,28873886856.00000000,45741332.72394610,141805
1615766400000,2021-03-15 00:00:00,BTT/USDT,0.00168180,0.00180470,0.00153470,0.00162360,47063329685.00000000,78076488.18017080,215547
1615680000000,2021-03-14 00:00:00,BTT/USDT,0.00169150,0.00189660,0.00157240,0.00168180,84489589364.00000000,146669504.36009480,356227
1615593600000,2021-03-13 00:00:00,BTT/USDT,0.00131450,0.00199980,0.00129560,0.00169280,125113511388.00000000,205701245.95393950,455021
1615507200000,2021-03-12 00:00:00,BTT/USDT,0.00138840,0.00139680,0.00127880,0.00131400,20228391701.00000000,26960229.22125060,100507
1615420800000,2021-03-11 00:00:00,BTT/USDT,0.00142310,0.00143690,0.00135180,0.00138780,18180189083.00000000,25271093.51282110,98315
1615334400000,2021-03-10 00:00:00,BTT/USDT,0.00133850,0.00157300,0.00128750,0.00142480,42915503035.00000000,61682813.38768420,203449
1615248000000,2021-03-09 00:00:00,BTT/USDT,0.00129100,0.00138000,0.00126090,0.00133930,30036745223.00000000,39117685.45522840,128144
1615161600000,2021-03-08 00:00:00,BTT/USDT,0.00125240,0.00140000,0.00121200,0.00128810,28718186618.00000000,36874766.21624550,114214
1615075200000,2021-03-07 00:00:00,BTT/USDT,0.00123000,0.00126700,0.00122090,0.00125230,12434744069.00000000,15443750.87770470,57636
1614988800000,2021-03-06 00:00:00,BTT/USDT,0.00123250,0.00128000,0.00119050,0.00123040,12990682103.00000000,16029102.73465260,62982
1614902400000,2021-03-05 00:00:00,BTT/USDT,0.00119970,0.00125900,0.00114020,0.00123210,24757755048.00000000,29732908.33349190,98926
1614816000000,2021-03-04 00:00:00,BTT/USDT,0.00123320,0.00126990,0.00115860,0.00119990,15044851385.00000000,18292850.53381470,81377
1614729600000,2021-03-03 00:00:00,BTT/USDT,0.00121080,0.00127000,0.00118720,0.00123220,17608455536.00000000,21748419.52385750,85137
1614643200000,2021-03-02 00:00:00,BTT/USDT,0.00124930,0.00127290,0.00116620,0.00121080,11703942176.00000000,14258270.50617240,70248
1614556800000,2021-03-01 00:00:00,BTT/USDT,0.00114320,0.00126190,0.00113090,0.00124910,20840142209.00000000,25070129.42979290,106583
1614470400000,2021-02-28 00:00:00,BTT/USDT,0.00125980,0.00127320,0.00104130,0.00114220,21207348599.00000000,24077573.48923270,98392
1614384000000,2021-02-27 00:00:00,BTT/USDT,0.00127160,0.00133810,0.00124010,0.00126050,14844047680.00000000,19174182.16995170,87405
1614297600000,2021-02-26 00:00:00,BTT/USDT,0.00132240,0.00136400,0.00121700,0.00127160,18900500318.00000000,24379043.10851950,96645
1614211200000,2021-02-25 00:00:00,BTT/USDT,0.00142960,0.00149000,0.00131070,0.00132100,18388159340.00000000,26004147.70858930,103342
1614124800000,2021-02-24 00:00:00,BTT/USDT,0.00136460,0.00153500,0.00130500,0.00142890,31609420895.00000000,45678656.08305190,159598
1614038400000,2021-02-23 00:00:00,BTT/USDT,0.00168430,0.00170330,0.00101200,0.00136700,59110965287.00000000,80368969.45876290,241142
1613952000000,2021-02-22 00:00:00,BTT/USDT,0.00173910,0.00198000,0.00137770,0.00168660,97100047203.00000000,167893533.37167160,379459
1613865600000,2021-02-21 00:00:00,BTT/USDT,0.00148760,0.00188520,0.00141220,0.00173780,93113066775.00000000,157164542.80076820,357532
1613779200000,2021-02-20 00:00:00,BTT/USDT,0.00142730,0.00184000,0.00137650,0.00148910,77675522695.00000000,121755033.39300890,312379
1613692800000,2021-02-19 00:00:00,BTT/USDT,0.00125680,0.00159070,0.00123020,0.00142700,53709035327.00000000,74537641.35029140,230538
1613606400000,2021-02-18 00:00:00,BTT/USDT,0.00121190,0.00129000,0.00119510,0.00125960,19342562882.00000000,23944145.50766680,106567
1613520000000,2021-02-17 00:00:00,BTT/USDT,0.00117840,0.00137990,0.00111120,0.00121190,33282420078.00000000,41038359.95731640,137726
1613433600000,2021-02-16 00:00:00,BTT/USDT,0.00110940,0.00126030,0.00108510,0.00117990,21124099455.00000000,25063875.05778260,109529
1613347200000,2021-02-15 00:00:00,BTT/USDT,0.00113890,0.00123000,0.00094450,0.00111010,28238414880.00000000,30919568.05788320,129513
1613260800000,2021-02-14 00:00:00,BTT/USDT,0.00124300,0.00125500,0.00107420,0.00113890,18224733704.00000000,21308043.91101790,101412
1613174400000,2021-02-13 00:00:00,BTT/USDT,0.00126100,0.00130500,0.00113410,0.00124300,23845272998.00000000,29500136.42660620,129938
1613088000000,2021-02-12 00:00:00,BTT/USDT,0.00119510,0.00142870,0.00119300,0.00126100,49761171373.00000000,63247480.32760610,214338
1613001600000,2021-02-11 00:00:00,BTT/USDT,0.00112270,0.00122000,0.00108430,0.00119770,49448915836.00000000,56957708.77412430,181387
1612915200000,2021-02-10 00:00:00,BTT/USDT,0.00121500,0.00130500,0.00102500,0.00112090,70235733106.00000000,81049146.97687820,286463
1612828800000,2021-02-09 00:00:00,BTT/USDT,0.00106830,0.00202000,0.00105300,0.00121380,393582478115.00000000,555663108.59568670,1062893
1612742400000,2021-02-08 00:00:00,BTT/USDT,0.00049890,0.00154160,0.00049660,0.00107100,261400550288.00000000,257519005.07246660,621914
1612656000000,2021-02-07 00:00:00,BTT/USDT,0.00046380,0.00052440,0.00044800,0.00049880,27145674205.00000000,13318074.66774650,79531
1612569600000,2021-02-06 00:00:00,BTT/USDT,0.00047740,0.00048050,0.00044430,0.00046340,13709991614.00000000,6337891.93853660,42207
1612483200000,2021-02-05 00:00:00,BTT/USDT,0.00043430,0.00048110,0.00043160,0.00047750,14745221365.00000000,6770949.86121360,44844
1612396800000,2021-02-04 00:00:00,BTT/USDT,0.00045660,0.00046030,0.00042240,0.00043420,15007946368.00000000,6648623.56379860,44145
1612310400000,2021-02-03 00:00:00,BTT/USDT,0.00043110,0.00050000,0.00041750,0.00045710,41882495341.00000000,18956942.11940140,103284
1612224000000,2021-02-02 00:00:00,BTT/USDT,0.00038150,0.00045000,0.00037800,0.00043130,18734869571.00000000,7672087.87556030,52047
1612137600000,2021-02-01 00:00:00,BTT/USDT,0.00038180,0.00039290,0.00037220,0.00038190,9640457875.00000000,3677955.11200450,35755
1612051200000,2021-01-31 00:00:00,BTT/USDT,0.00038220,0.00040420,0.00037210,0.00038180,15003978691.00000000,5814080.35081940,45157
1611964800000,2021-01-30 00:00:00,BTT/USDT,0.00039020,0.00039880,0.00037260,0.00038210,15175150992.00000000,5808152.47023350,45802
1611878400000,2021-01-29 00:00:00,BTT/USDT,0.00037000,0.00045000,0.00036430,0.00039080,39945124905.00000000,15800599.27091570,88000
1611792000000,2021-01-28 00:00:00,BTT/USDT,0.00033730,0.00037440,0.00033550,0.00037020,13678103535.00000000,4870401.93366200,27685
1611705600000,2021-01-27 00:00:00,BTT/USDT,0.00036260,0.00036280,0.00033200,0.00033760,11643023783.00000000,4025321.84399400,22895
1611619200000,2021-01-26 00:00:00,BTT/USDT,0.00036300,0.00037310,0.00035260,0.00036270,4194328405.00000000,1515539.22499300,18448
1611532800000,2021-01-25 00:00:00,BTT/USDT,0.00037780,0.00038960,0.00035900,0.00036360,10195618687.00000000,3817090.06197100,31804
1611446400000,2021-01-24 00:00:00,BTT/USDT,0.00035500,0.00040400,0.00035380,0.00037740,17469924398.00000000,6565310.68544090,39908
1611360000000,2021-01-23 00:00:00,BTT/USDT,0.00034330,0.00036000,0.00033860,0.00035500,9700318250.00000000,3388387.34221170,23523
1611273600000,2021-01-22 00:00:00,BTT/USDT,0.00033310,0.00034850,0.00031810,0.00034350,8897107662.00000000,2990505.53220280,22916
1611187200000,2021-01-21 00:00:00,BTT/USDT,0.00036390,0.00036500,0.00033040,0.00033320,6959117599.00000000,2403310.90825310,21824
1611100800000,2021-01-20 00:00:00,BTT/USDT,0.00037220,0.00037700,0.00034900,0.00036390,9303255687.00000000,3380951.18425570,27162
