https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DASH,Volume USDT,tradecount
1616371200000,2021-03-22 00:00:00,DASH/USDT,220.88000000,221.40000000,218.45000000,218.67000000,1481.76345000,325231.84541810,984
1616284800000,2021-03-21 00:00:00,DASH/USDT,227.30000000,230.60000000,219.30000000,221.01000000,87570.52743000,19624291.73548140,37055
1616198400000,2021-03-20 00:00:00,DASH/USDT,225.52000000,236.66000000,224.21000000,227.11000000,104966.61491000,24323073.84267700,50024
1616112000000,2021-03-19 00:00:00,DASH/USDT,225.79000000,231.29000000,219.40000000,225.72000000,77738.42023000,17700650.56273150,37005
1616025600000,2021-03-18 00:00:00,DASH/USDT,229.47000000,237.70000000,221.94000000,225.83000000,136183.50299000,31267244.02244110,63121
1615939200000,2021-03-17 00:00:00,DASH/USDT,223.70000000,231.20000000,216.52000000,229.47000000,116650.41508000,26207440.66237030,47930
1615852800000,2021-03-16 00:00:00,DASH/USDT,221.27000000,224.96000000,210.58000000,223.59000000,107782.28711000,23615043.42513580,47360
1615766400000,2021-03-15 00:00:00,DASH/USDT,230.90000000,240.45000000,218.00000000,221.42000000,135483.90647000,30667569.96360390,58202
1615680000000,2021-03-14 00:00:00,DASH/USDT,243.16000000,250.20000000,230.92000000,231.17000000,168708.90051000,40538835.69867430,70108
1615593600000,2021-03-13 00:00:00,DASH/USDT,224.64000000,245.17000000,217.07000000,243.04000000,165964.52106000,38872766.71785390,67419
1615507200000,2021-03-12 00:00:00,DASH/USDT,235.40000000,239.56000000,214.97000000,224.69000000,163689.52612000,37100458.92322220,62426
1615420800000,2021-03-11 00:00:00,DASH/USDT,234.56000000,244.17000000,225.26000000,235.39000000,170559.21969000,40059816.47010410,70972
1615334400000,2021-03-10 00:00:00,DASH/USDT,244.09000000,250.00000000,225.69000000,234.41000000,221375.31372000,52771021.17793830,87365
1615248000000,2021-03-09 00:00:00,DASH/USDT,218.26000000,245.81000000,214.71000000,244.20000000,235143.63519000,54520485.71871800,98104
1615161600000,2021-03-08 00:00:00,DASH/USDT,214.80000000,219.11000000,206.49000000,218.23000000,109229.35324000,23256327.10564380,43743
1615075200000,2021-03-07 00:00:00,DASH/USDT,208.79000000,215.04000000,206.33000000,214.79000000,92915.69908000,19626538.46951800,37751
