https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XMR,Volume USDT,tradecount
1616371200000,2021-03-22 00:00:00,XMR/USDT,231.71000000,231.94000000,230.51000000,230.72000000,927.29998000,214441.19479280,1059
1616284800000,2021-03-21 00:00:00,XMR/USDT,231.99000000,238.88000000,225.79000000,231.66000000,76229.70607000,17665399.23618240,43412
1616198400000,2021-03-20 00:00:00,XMR/USDT,231.42000000,237.31000000,230.21000000,231.95000000,55535.75692000,13013810.32552890,37128
1616112000000,2021-03-19 00:00:00,XMR/USDT,228.03000000,236.01000000,223.28000000,231.43000000,87290.07264000,20205283.21484770,47535
1616025600000,2021-03-18 00:00:00,XMR/USDT,235.87000000,240.33000000,227.53000000,228.04000000,99810.52231000,23465610.92924320,54305
1615939200000,2021-03-17 00:00:00,XMR/USDT,229.92000000,237.37000000,225.61000000,236.20000000,103403.79291000,23990486.21272310,55563
1615852800000,2021-03-16 00:00:00,XMR/USDT,221.93000000,229.99000000,211.08000000,229.92000000,102570.64095000,22679561.94464440,50336
1615766400000,2021-03-15 00:00:00,XMR/USDT,232.21000000,238.19000000,215.39000000,221.88000000,126952.33310000,28301100.62497370,62914
1615680000000,2021-03-14 00:00:00,XMR/USDT,239.44000000,241.00000000,229.21000000,232.25000000,90506.24317000,21278353.21591750,54973
1615593600000,2021-03-13 00:00:00,XMR/USDT,222.89000000,239.46000000,218.10000000,239.46000000,101280.98881000,23396836.26979210,59546
1615507200000,2021-03-12 00:00:00,XMR/USDT,221.06000000,226.02000000,214.90000000,222.85000000,80249.23799000,17728896.02928390,43427
1615420800000,2021-03-11 00:00:00,XMR/USDT,220.16000000,226.34000000,212.76000000,221.11000000,88910.63827000,19578946.34291500,46594
1615334400000,2021-03-10 00:00:00,XMR/USDT,224.98000000,227.39000000,214.70000000,220.19000000,90560.90849000,20012430.98943450,44310
1615248000000,2021-03-09 00:00:00,XMR/USDT,221.02000000,228.99000000,218.04000000,225.16000000,101112.21848000,22582850.42923380,55111
1615161600000,2021-03-08 00:00:00,XMR/USDT,209.07000000,221.24000000,204.00000000,221.08000000,104651.61369000,22235950.39147780,49577
1615075200000,2021-03-07 00:00:00,XMR/USDT,204.51000000,210.27000000,202.17000000,208.99000000,73427.75486000,15171397.98723390,35729
1614988800000,2021-03-06 00:00:00,XMR/USDT,205.83000000,208.13000000,198.15000000,204.35000000,115437.07406000,23428276.97293630,42166
1614902400000,2021-03-05 00:00:00,XMR/USDT,217.31000000,217.58000000,202.69000000,205.84000000,88002.69962000,18247636.14031150,40400
1614816000000,2021-03-04 00:00:00,XMR/USDT,218.82000000,223.93000000,209.66000000,217.52000000,101341.12347000,21847799.52295300,48702
1614729600000,2021-03-03 00:00:00,XMR/USDT,220.14000000,228.99000000,215.65000000,218.70000000,125359.45832000,27825452.30179500,50836
