https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XLM,Volume USDT,tradecount
1616371200000,2021-03-22 00:00:00,XLM/USDT,0.40348000,0.40417000,0.40059000,0.40113000,2021929.70000000,812803.47467700,1863
1616284800000,2021-03-21 00:00:00,XLM/USDT,0.41597000,0.42372000,0.39183000,0.40347000,257265778.00000000,103960291.61507600,201740
1616198400000,2021-03-20 00:00:00,XLM/USDT,0.39485000,0.43801000,0.39205000,0.41577000,326157323.30000000,135822076.05208500,282247
1616112000000,2021-03-19 00:00:00,XLM/USDT,0.39458000,0.40221000,0.38755000,0.39486000,126225533.10000000,50135066.82343300,122994
1616025600000,2021-03-18 00:00:00,XLM/USDT,0.40278000,0.40861000,0.39329000,0.39439000,150306925.90000000,60427121.28525500,145663
1615939200000,2021-03-17 00:00:00,XLM/USDT,0.39563000,0.40495000,0.38634000,0.40268000,168153959.20000000,66616808.53221800,140634
1615852800000,2021-03-16 00:00:00,XLM/USDT,0.38428000,0.41331000,0.37297000,0.39563000,288485490.20000000,113694902.84656800,212968
1615766400000,2021-03-15 00:00:00,XLM/USDT,0.38833000,0.39923000,0.36721000,0.38429000,188924935.00000000,72328454.72295600,154661
1615680000000,2021-03-14 00:00:00,XLM/USDT,0.40658000,0.40887000,0.38762000,0.38831000,138069745.70000000,54753606.73392200,125167
1615593600000,2021-03-13 00:00:00,XLM/USDT,0.38668000,0.41200000,0.37540000,0.40661000,193537671.90000000,76923827.20050600,160715
1615507200000,2021-03-12 00:00:00,XLM/USDT,0.40562000,0.40707000,0.37739000,0.38657000,184560074.90000000,72524691.81624900,146606
1615420800000,2021-03-11 00:00:00,XLM/USDT,0.40913000,0.41290000,0.39558000,0.40564000,176882401.10000000,71505554.34158400,141689
1615334400000,2021-03-10 00:00:00,XLM/USDT,0.43192000,0.43326000,0.40583000,0.40889000,192310325.20000000,80049660.43983800,168605
1615248000000,2021-03-09 00:00:00,XLM/USDT,0.41838000,0.43480000,0.41274000,0.43186000,234072475.50000000,99369753.36571600,199304
1615161600000,2021-03-08 00:00:00,XLM/USDT,0.41265000,0.42100000,0.40257000,0.41821000,168682729.10000000,69503802.22903900,143240
1615075200000,2021-03-07 00:00:00,XLM/USDT,0.40159000,0.42238000,0.40141000,0.41265000,161937065.90000000,66654358.79087100,144500
1614988800000,2021-03-06 00:00:00,XLM/USDT,0.40489000,0.40849000,0.39204000,0.40142000,111400049.10000000,44556399.66585900,96763
1614902400000,2021-03-05 00:00:00,XLM/USDT,0.41196000,0.41282000,0.38555000,0.40483000,176504438.40000000,70349473.45543900,147499
1614816000000,2021-03-04 00:00:00,XLM/USDT,0.42081000,0.42850000,0.40119000,0.41182000,252643849.50000000,104950131.46291000,198166
1614729600000,2021-03-03 00:00:00,XLM/USDT,0.41857000,0.43860000,0.41188000,0.42052000,226457001.60000000,96474374.41239700,195940
1614643200000,2021-03-02 00:00:00,XLM/USDT,0.43101000,0.43632000,0.39655000,0.41856000,243838707.70000000,102203401.09397800,180034
1614556800000,2021-03-01 00:00:00,XLM/USDT,0.40541000,0.45000000,0.40001000,0.43069000,253988523.40000000,105844713.73919000,194223
1614470400000,2021-02-28 00:00:00,XLM/USDT,0.43845000,0.45025000,0.38000000,0.40587000,319632425.00000000,130562636.31916500,224135
1614384000000,2021-02-27 00:00:00,XLM/USDT,0.40066000,0.47171000,0.39860000,0.43792000,527720260.40000000,230384047.31137600,367336
1614297600000,2021-02-26 00:00:00,XLM/USDT,0.38080000,0.40147000,0.35457000,0.40030000,242047636.10000000,92065305.75351800,168317
