https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ZEC,Volume USDT,tradecount
1616371200000,2021-03-22 00:00:00,ZEC/USDT,148.18000000,148.67000000,147.13000000,147.22000000,1413.34533000,209008.36058530,554
1616284800000,2021-03-21 00:00:00,ZEC/USDT,155.00000000,156.49000000,145.09000000,148.18000000,159080.43693000,23820904.14409180,60158
1616198400000,2021-03-20 00:00:00,ZEC/USDT,150.23000000,161.20000000,149.29000000,155.03000000,242776.76381000,37920304.42054990,87883
1616112000000,2021-03-19 00:00:00,ZEC/USDT,142.98000000,153.25000000,140.35000000,150.31000000,131723.47968000,19417298.08500660,52292
1616025600000,2021-03-18 00:00:00,ZEC/USDT,146.03000000,150.88000000,141.82000000,142.97000000,150347.35330000,21931991.43691040,54551
1615939200000,2021-03-17 00:00:00,ZEC/USDT,139.37000000,146.97000000,134.47000000,146.02000000,178928.53771000,25160997.42012610,58222
1615852800000,2021-03-16 00:00:00,ZEC/USDT,135.19000000,140.38000000,130.05000000,139.41000000,147123.29501000,20046623.08245760,53280
1615766400000,2021-03-15 00:00:00,ZEC/USDT,143.14000000,147.13000000,133.88000000,135.10000000,235868.32921000,32765066.33025910,72197
1615680000000,2021-03-14 00:00:00,ZEC/USDT,156.15000000,158.20000000,143.13000000,143.18000000,175695.52773000,26279502.97742270,61180
1615593600000,2021-03-13 00:00:00,ZEC/USDT,145.45000000,160.00000000,137.30000000,156.12000000,283737.32224000,42287587.77342420,89898
1615507200000,2021-03-12 00:00:00,ZEC/USDT,151.88000000,156.61000000,141.78000000,145.36000000,242654.12709000,36316550.99889890,84760
1615420800000,2021-03-11 00:00:00,ZEC/USDT,139.77000000,158.51000000,135.65000000,151.86000000,427246.37233000,63407631.67092490,122914
1615334400000,2021-03-10 00:00:00,ZEC/USDT,137.76000000,142.09000000,131.13000000,139.82000000,207400.73613000,28230243.02182800,74720
1615248000000,2021-03-09 00:00:00,ZEC/USDT,129.54000000,138.40000000,127.80000000,137.69000000,216384.09227000,28924237.14481450,72808
1615161600000,2021-03-08 00:00:00,ZEC/USDT,130.08000000,132.80000000,124.36000000,129.55000000,137243.53171000,17580531.34776450,46256
1615075200000,2021-03-07 00:00:00,ZEC/USDT,125.20000000,130.18000000,124.37000000,130.08000000,123295.99356000,15650703.29971310,44100
1614988800000,2021-03-06 00:00:00,ZEC/USDT,121.19000000,126.93000000,118.22000000,125.19000000,150497.69450000,18445057.20002070,48379
1614902400000,2021-03-05 00:00:00,ZEC/USDT,122.06000000,124.32000000,113.08000000,121.12000000,236863.09222000,27938209.06905280,64348
1614816000000,2021-03-04 00:00:00,ZEC/USDT,126.72000000,129.90000000,117.55000000,122.03000000,213079.72684000,26375510.57645570,61121
1614729600000,2021-03-03 00:00:00,ZEC/USDT,120.50000000,130.93000000,119.02000000,126.69000000,264703.71143000,33708815.27864080,72174
1614643200000,2021-03-02 00:00:00,ZEC/USDT,124.42000000,126.80000000,116.38000000,120.51000000,301904.15135000,36866599.92680580,72183
1614556800000,2021-03-01 00:00:00,ZEC/USDT,111.33000000,126.21000000,110.09000000,124.40000000,317470.70505000,37313422.34275610,73176
1614470400000,2021-02-28 00:00:00,ZEC/USDT,119.77000000,120.38000000,104.35000000,111.31000000,324743.01275000,36272342.29718990,70496
1614384000000,2021-02-27 00:00:00,ZEC/USDT,118.23000000,125.03000000,117.42000000,119.78000000,234470.20492000,28667061.28920820,55057
1614297600000,2021-02-26 00:00:00,ZEC/USDT,121.27000000,125.05000000,113.41000000,118.23000000,393489.94968000,46987632.70432250,85190
1614211200000,2021-02-25 00:00:00,ZEC/USDT,131.01000000,139.60000000,120.00000000,121.25000000,381626.76442000,50654462.41520320,92181
1614124800000,2021-02-24 00:00:00,ZEC/USDT,127.12000000,135.30000000,122.07000000,130.96000000,536094.57543000,69283062.63359250,121121
1614038400000,2021-02-23 00:00:00,ZEC/USDT,144.41000000,145.42000000,103.47000000,127.13000000,911371.88195000,113099949.64145490,195795
1613952000000,2021-02-22 00:00:00,ZEC/USDT,161.84000000,162.91000000,120.91000000,144.39000000,669913.65604000,97682586.26094490,158927
1613865600000,2021-02-21 00:00:00,ZEC/USDT,164.08000000,168.01000000,158.29000000,161.87000000,290902.33854000,47626954.68186630,91751
1613779200000,2021-02-20 00:00:00,ZEC/USDT,180.20000000,185.33000000,155.88000000,164.09000000,533247.10915000,92552835.25958310,155583
1613692800000,2021-02-19 00:00:00,ZEC/USDT,169.29000000,190.00000000,162.00000000,180.19000000,564027.85724000,100109122.89180030,166566
1613606400000,2021-02-18 00:00:00,ZEC/USDT,168.36000000,179.50000000,157.40000000,169.25000000,464093.27098000,77883456.65151840,130044
1613520000000,2021-02-17 00:00:00,ZEC/USDT,155.69000000,173.66000000,147.02000000,168.37000000,496646.43517000,80143666.38081490,130098
1613433600000,2021-02-16 00:00:00,ZEC/USDT,158.78000000,168.17000000,148.39000000,155.68000000,546444.47056000,86777583.00525650,141815
1613347200000,2021-02-15 00:00:00,ZEC/USDT,156.20000000,180.00000000,124.60000000,158.61000000,985558.78987000,153709623.93645280,233205
1613260800000,2021-02-14 00:00:00,ZEC/USDT,176.10000000,179.79000000,152.70000000,156.33000000,626746.45834000,104507350.15349060,167077
1613174400000,2021-02-13 00:00:00,ZEC/USDT,142.79000000,190.64000000,142.71000000,176.11000000,1027568.07171000,168133447.92746280,267223
1613088000000,2021-02-12 00:00:00,ZEC/USDT,142.32000000,149.20000000,132.81000000,142.79000000,517683.32918000,73416337.09154730,135646
1613001600000,2021-02-11 00:00:00,ZEC/USDT,116.43000000,150.00000000,113.12000000,142.34000000,929185.96710000,124182883.20810370,215007
1612915200000,2021-02-10 00:00:00,ZEC/USDT,108.75000000,121.93000000,106.36000000,116.41000000,666241.87087000,75624810.43151890,173308
1612828800000,2021-02-09 00:00:00,ZEC/USDT,98.03000000,110.12000000,97.24000000,108.77000000,532532.45679000,55516089.60555910,131889
1612742400000,2021-02-08 00:00:00,ZEC/USDT,92.32000000,98.38000000,91.09000000,98.01000000,279810.88419000,26554657.70917180,77292
1612656000000,2021-02-07 00:00:00,ZEC/USDT,94.25000000,95.60000000,88.75000000,92.30000000,280176.57914000,25894922.03761900,71465
1612569600000,2021-02-06 00:00:00,ZEC/USDT,96.46000000,98.95000000,91.97000000,94.24000000,392300.42584000,37854713.99509600,93292
